code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
NDS-10;CL-001;ООО «Северный Ветер»;Сверка книг покупок и продаж, контроль разрывов по НДС;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;A;120;checklists/nds.md;НК РФ гл. 21;Полный
ACC-70;CL-001;ООО «Северный Ветер»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Полный
REP-NDS;CL-001;ООО «Северный Ветер»;Декларация по НДС за III квартал 2026;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/nds.md;НК РФ ст. 174;Полный
REP-PRIB;CL-001;ООО «Северный Ветер»;Декларация по налогу на прибыль за 9 месяцев 2026;Отчётность;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/reporting.md;НК РФ ст. 289;Полный
ACC-60;CL-001;ООО «Северный Ветер»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Полный
CLI-10;CL-001;ООО «Северный Ветер»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Полный
REP-STAT;CL-001;ООО «Северный Ветер»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Полный
ACC-90;CL-001;ООО «Северный Ветер»;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;B;60;;ПП РФ 1108;Полный
TAX-PROP-N;CL-001;ООО «Северный Ветер»;Уведомление и уплата авансов по имущественным налогам за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;B;45;;НК РФ ст. 383, 397, 363;Полный
CLI-30;CL-001;ООО «Северный Ветер»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Полный
DOC-50;CL-001;ООО «Северный Ветер»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Полный
TAX-NDS-P;CL-001;ООО «Северный Ветер»;Уплата 1/3 НДС за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/nds.md;НК РФ ст. 174 п. 1;Полный
TAX-PRIB-P;CL-001;ООО «Северный Ветер»;Уплата налога на прибыль за 9 месяцев 2026;Налоги;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 287;Полный
QC-20;CL-001;ООО «Северный Ветер»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Полный
DOC-10;CL-002;ООО «Уютный Дом»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-10;CL-002;ООО «Уютный Дом»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
DOC-20;CL-002;ООО «Уютный Дом»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Стандарт
DOC-40;CL-002;ООО «Уютный Дом»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-20;CL-002;ООО «Уютный Дом»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
ACC-30;CL-002;ООО «Уютный Дом»;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;A;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Стандарт
DOC-30;CL-002;ООО «Уютный Дом»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Стандарт
ACC-50;CL-002;ООО «Уютный Дом»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Стандарт
ACC-70;CL-002;ООО «Уютный Дом»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Стандарт
ACC-60;CL-002;ООО «Уютный Дом»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Стандарт
CLI-10;CL-002;ООО «Уютный Дом»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Стандарт
REP-STAT;CL-002;ООО «Уютный Дом»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Стандарт
ACC-90;CL-002;ООО «Уютный Дом»;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;B;60;;ПП РФ 1108;Стандарт
TAX-PROP-N;CL-002;ООО «Уютный Дом»;Уведомление и уплата авансов по имущественным налогам за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;B;45;;НК РФ ст. 383, 397, 363;Стандарт
TAX-USN-N;CL-002;ООО «Уютный Дом»;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Стандарт
CLI-30;CL-002;ООО «Уютный Дом»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Стандарт
DOC-50;CL-002;ООО «Уютный Дом»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Стандарт
TAX-USN-P;CL-002;ООО «Уютный Дом»;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Стандарт
QC-20;CL-002;ООО «Уютный Дом»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Стандарт
DOC-10;CL-008;ИП Новиков С.С.;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-10;CL-008;ИП Новиков С.С.;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
DOC-20;CL-008;ИП Новиков С.С.;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Стандарт
DOC-40;CL-008;ИП Новиков С.С.;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-20;CL-008;ИП Новиков С.С.;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
ACC-30;CL-008;ИП Новиков С.С.;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;A;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Стандарт
DOC-30;CL-008;ИП Новиков С.С.;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Стандарт
ACC-50;CL-008;ИП Новиков С.С.;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Стандарт
ACC-70;CL-008;ИП Новиков С.С.;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Лебедева К.М.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Стандарт
ACC-60;CL-008;ИП Новиков С.С.;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Стандарт
CLI-10;CL-008;ИП Новиков С.С.;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Стандарт
REP-KUDIR;CL-008;ИП Новиков С.С.;Актуализация и проверка КУДиР;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;45;;Приказ ФНС ЕД-7-3/816;Стандарт
REP-STAT;CL-008;ИП Новиков С.С.;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Стандарт
ACC-90;CL-008;ИП Новиков С.С.;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;B;60;;ПП РФ 1108;Стандарт
TAX-USN-N;CL-008;ИП Новиков С.С.;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Стандарт
CLI-30;CL-008;ИП Новиков С.С.;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-19;2026-10-22;;B;20;;Договор;Стандарт
DOC-50;CL-008;ИП Новиков С.С.;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Стандарт
TAX-USN-P;CL-008;ИП Новиков С.С.;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Стандарт
QC-20;CL-008;ИП Новиков С.С.;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Лебедева К.М.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Стандарт
DOC-10;CL-007;ООО «Бар Панорама»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-007;ООО «Бар Панорама»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-20;CL-007;ООО «Бар Панорама»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Полный
DOC-40;CL-007;ООО «Бар Панорама»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-20;CL-007;ООО «Бар Панорама»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Полный
ACC-30;CL-007;ООО «Бар Панорама»;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;A;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Полный
DOC-30;CL-007;ООО «Бар Панорама»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Полный
ACC-50;CL-007;ООО «Бар Панорама»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Полный
ACC-95;CL-007;ООО «Бар Панорама»;Декларации по объёму оборота алкогольной продукции;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-12;2026-10-15;2026-10-20;A;60;;ПП РФ 815;Полный
ACC-70;CL-007;ООО «Бар Панорама»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Лебедева К.М.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Полный
ACC-60;CL-007;ООО «Бар Панорама»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Полный
CLI-10;CL-007;ООО «Бар Панорама»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Полный
REP-STAT;CL-007;ООО «Бар Панорама»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Полный
TAX-USN-N;CL-007;ООО «Бар Панорама»;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Полный
CLI-30;CL-007;ООО «Бар Панорама»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-19;2026-10-22;;B;20;;Договор;Полный
DOC-50;CL-007;ООО «Бар Панорама»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Полный
TAX-USN-P;CL-007;ООО «Бар Панорама»;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Полный
QC-20;CL-007;ООО «Бар Панорама»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Лебедева К.М.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Полный
DOC-10;CL-009;ООО «МедиаЛаб»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-10;CL-009;ООО «МедиаЛаб»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
DOC-20;CL-009;ООО «МедиаЛаб»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Стандарт
DOC-40;CL-009;ООО «МедиаЛаб»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Стандарт
ACC-20;CL-009;ООО «МедиаЛаб»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Стандарт
DOC-30;CL-009;ООО «МедиаЛаб»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Стандарт
ACC-50;CL-009;ООО «МедиаЛаб»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Стандарт
ACC-70;CL-009;ООО «МедиаЛаб»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Лебедева К.М.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Стандарт
ACC-60;CL-009;ООО «МедиаЛаб»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Стандарт
CLI-10;CL-009;ООО «МедиаЛаб»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Стандарт
REP-STAT;CL-009;ООО «МедиаЛаб»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Лебедева К.М.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Стандарт
TAX-USN-N;CL-009;ООО «МедиаЛаб»;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Стандарт
CLI-30;CL-009;ООО «МедиаЛаб»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-19;2026-10-22;;B;20;;Договор;Стандарт
DOC-50;CL-009;ООО «МедиаЛаб»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Лебедева К.М.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Стандарт
TAX-USN-P;CL-009;ООО «МедиаЛаб»;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Лебедева К.М.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Стандарт
QC-20;CL-009;ООО «МедиаЛаб»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Лебедева К.М.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Стандарт
HR-10;CL-005;ИП Морозова Е.В.;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Стандарт
TAX-NDFL-N2;CL-005;ИП Морозова Е.В.;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
TAX-NDFL-P2;CL-005;ИП Морозова Е.В.;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
PAY-20;CL-005;ИП Морозова Е.В.;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-05;2026-10-08;;A;90;checklists/payroll.md;ТК РФ ст. 136;Стандарт
PAY-30;CL-005;ИП Морозова Е.В.;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-06;2026-10-09;;A;30;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-SFR-P;CL-005;ИП Морозова Е.В.;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Стандарт
REP-6NDFL;CL-005;ИП Морозова Е.В.;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Стандарт
REP-RSV;CL-005;ИП Морозова Е.В.;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Стандарт
REP-EFS2;CL-005;ИП Морозова Е.В.;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Стандарт
HR-30;CL-005;ИП Морозова Е.В.;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Стандарт
TAX-NDFL-N1;CL-005;ИП Морозова Е.В.;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
HR-20;CL-005;ИП Морозова Е.В.;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Стандарт
PAY-10;CL-005;ИП Морозова Е.В.;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-20;2026-10-23;;A;60;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-NDFL-P1;CL-005;ИП Морозова Е.В.;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SV-P;CL-005;ИП Морозова Е.В.;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Стандарт
HR-10;CL-010;ООО «Импорт Трейд»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Полный
PAY-20;CL-010;ООО «Импорт Трейд»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-010;ООО «Импорт Трейд»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-N2;CL-010;ООО «Импорт Трейд»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-010;ООО «Импорт Трейд»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SFR-P;CL-010;ООО «Импорт Трейд»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Петрова М.И.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
PAY-10;CL-010;ООО «Импорт Трейд»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
REP-6NDFL;CL-010;ООО «Импорт Трейд»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-010;ООО «Импорт Трейд»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
REP-EFS2;CL-010;ООО «Импорт Трейд»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Петрова М.И.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-010;ООО «Импорт Трейд»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Петрова М.И.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
